ÚÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ¿
³ ®¬¥à  ³        „®å®¤         ³
³¬ £ §¨­ ³       ¬ £ §¨­        ³
ÃÄÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ´
³ 000001 ³             28510.00 ³
³ 000002 ³            110395.00 ³
³ 000003 ³             50550.00 ³
³ 000005 ³              6975.00 ³
³ 000006 ³             44555.00 ³
³ 000007 ³             25645.00 ³
³ 000008 ³              7823.00 ³
³ 000009 ³             12360.00 ³
³ 000010 ³             14375.00 ³
³ 000011 ³              5300.00 ³
³ 000012 ³              5470.00 ³
³ 000013 ³             22480.00 ³
³ 000014 ³             11150.00 ³
³ 000015 ³             11800.00 ³
³ 000016 ³             26500.00 ³
³ 000017 ³              3600.00 ³
ÀÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÙ
